Time,Counting,VIZ,Speed,Max Vehicle dwell time,Counting,VIZ,Speed,Max Vehicle dwell time,Open Lane
0,0,0,0,0,0,0,0,0,0
2025-03-07 12:00:00,34,0,93.81411765,442,0,0,,0,1
2025-03-07 12:05:00,63,0,95.98603175,567,2,0,112.07,16,0
2025-03-07 12:10:00,36,0,100.8825,1728,6,0,79.875,300,1
2025-03-07 12:15:00,42,0,88.52261905,1512,2,0,0,100,1
2025-03-07 12:20:00,50,0,98.682,150,4,0,63.13,204,0
2025-03-07 12:25:00,37,0,82.08162162,1258,1,0,0,34,0
2025-03-07 12:30:00,49,0,97.43061224,882,4,0,81.2775,216,1
2025-03-07 12:35:00,58,0,107.77,1798,4,0,57.1225,172,0
2025-03-07 12:40:00,38,0,108.0097368,190,0,0,,0,1
2025-03-07 12:45:00,35,0,107.0497143,140,6,0,106.235,330,1
2025-03-07 12:50:00,65,0,95.05030769,715,3,0,79.24333333,93,0
2025-03-07 12:55:00,49,0,92.56163265,1176,7,0,75.58142857,217,1
2025-03-07 13:00:00,54,0,94.6487037,3078,7,0,95.15714286,343,0
2025-03-07 13:05:00,33,0,100.9921212,1782,0,0,,0,1
2025-03-07 13:10:00,43,0,85.75209302,2322,8,0,28.085,280,0
2025-03-07 13:15:00,55,0,101.3241818,990,0,0,,0,1
2025-03-07 13:20:00,41,0,113.3953659,861,1,0,0,30,0
2025-03-07 13:25:00,50,0,94.9982,1950,0,0,,0,1
2025-03-07 13:30:00,6,0,82.75166667,204,0,0,,0,0
2025-03-10 10:20:00,76,0,14.79447368,1976,23,0,11.3873913,23,1
2025-03-10 10:25:00,76,0,11.23565789,456,19,0,7.313684211,1102,0
2025-03-10 10:30:00,99,0,8.23969697,4653,5,0,21.7,115,0
2025-03-10 10:35:00,106,0,10.51679245,5936,23,0,7.575652174,184,1
2025-03-10 10:40:00,129,0,11.4451938,0,30,0,8.632,540,0
2025-03-10 10:45:00,61,0,14.14655738,1037,17,0,6.475294118,561,0
2025-03-10 10:50:00,129,0,14.86077519,3870,29,0,8.806551724,377,0
2025-03-10 10:55:00,42,0,20.94690476,1806,32,0,21.813125,1248,1
2025-03-10 11:00:00,69,0,11.02130435,483,35,0,5.117428571,980,0
2025-03-10 11:05:00,78,0,26.75166667,4368,28,0,15.8075,1652,0
2025-03-10 11:10:00,65,0,21.38738462,3900,25,0,3.4164,700,0
2025-03-10 11:15:00,37,0,27.52378378,1221,17,0,9.318235294,289,0
2025-03-10 11:20:00,56,0,31.21464286,448,18,0,20.88333333,180,1
2025-03-10 11:25:00,20,0,34.3975,1200,6,0,44.44666667,96,1
2025-03-10 11:30:00,67,0,26.78462687,1809,20,0,8.622,620,1
2025-03-10 11:35:00,32,0,46.36,704,2,0,18.03,78,1
2025-03-10 11:40:00,37,0,69.54783784,1221,8,0,2.5,80,0
2025-03-10 11:45:00,42,0,73.73714286,2142,7,0,34.37142857,70,1
2025-03-10 11:50:00,11,0,57.69454545,506,10,0,52.944,470,0
2025-03-10 11:55:00,0,0,,0,0,0,,0,0
2025-03-10 12:00:00,0,0,,0,0,0,,0,0
2025-03-10 12:05:00,30,0,43.38666667,1530,4,0,36.775,124,1
2025-03-10 12:10:00,52,0,28.84115385,2496,15,0,15.48133333,840,1
2025-03-10 12:15:00,40,0,67.135,1840,3,0,63.05,99,0
2025-03-10 12:20:00,41,0,84.58926829,2296,8,0,60.155,320,0
2025-03-10 12:25:00,64,0,73.83625,0,8,0,50.89625,344,1
2025-03-10 12:30:00,39,0,23.12948718,2028,14,0,8.152142857,532,0
2025-03-10 12:35:00,38,0,21.69921053,684,5,0,10.304,180,0
2025-03-10 12:40:00,16,0,18.07375,496,1,0,10,29,1
2025-03-10 12:45:00,61,0,49.2542623,1342,15,0,6.838666667,60,0
2025-03-10 12:50:00,49,0,48.83979592,1519,10,0,24.427,50,0
2025-03-10 12:55:00,38,0,26.94894737,1178,17,0,6.254117647,748,1
2025-03-10 13:00:00,40,0,27.4085,2160,9,0,21.13111111,315,0
2025-03-10 13:05:00,27,0,15.29888889,1107,9,0,22.74666667,432,1
2025-03-10 13:10:00,66,0,16.25621212,2970,9,0,19.30666667,450,0
2025-03-10 13:15:00,31,0,33.68870968,248,20,0,7.6635,800,0
2025-03-10 13:20:00,40,0,42.35225,960,10,0,46.448,400,0
2025-03-10 13:25:00,36,0,34.77944444,1512,14,0,11.00357143,630,0
2025-03-10 13:30:00,43,0,10.99813953,1032,22,0,1.800454545,286,1
2025-03-10 13:35:00,9,0,32.44,153,3,0,0.556666667,3,0
